﻿﻿﻿﻿﻿﻿ -1.0,0.3046875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.3046875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2890625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2890625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2890625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2890625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2734375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.265625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2421875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2421875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2265625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.21875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.21875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.21875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.21875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.21875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2109375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2109375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2109375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2265625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.234375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2421875,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.25,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2578125,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.265625,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.2734375,0.0 ﻿
